secid,date,ticker,low,high,open,close
108105,2001-01-02,SPX,1276.05,1320.28,1320.28,1283.27
108105,2001-01-03,SPX,1274.62,1347.76,1283.27,1347.56
108105,2001-01-04,SPX,1329.14,1350.24,1347.56,1333.34
108105,2001-01-05,SPX,1294.95,1334.77,1333.34,1298.35
108105,2001-01-08,SPX,1276.29,1298.35,1298.35,1295.86
108105,2001-01-09,SPX,1295.14,1311.72,1295.86,1300.8
108105,2001-01-10,SPX,1287.28,1313.76,1300.8,1313.27
108105,2001-01-11,SPX,1309.72,1332.19,1313.27,1326.82
108105,2001-01-12,SPX,1311.59,1333.21,1326.82,1318.32
108105,2001-01-16,SPX,1313.33,1327.81,1318.32,1326.65
108105,2001-01-17,SPX,1325.41,1346.92,1326.65,1329.47
108105,2001-01-18,SPX,1327.41,1352.71,1329.89,1347.97
108105,2001-01-19,SPX,1336.74,1354.55,1347.97,1342.54
108105,2001-01-22,SPX,1333.84,1353.62,1342.54,1342.9
108105,2001-01-23,SPX,1339.63,1362.9,1342.9,1360.4
108105,2001-01-24,SPX,1357.28,1369.75,1360.4,1364.3
108105,2001-01-25,SPX,1354.63,1367.35,1364.3,1357.51
108105,2001-01-26,SPX,1342.75,1357.51,1357.51,1354.95
108105,2001-01-29,SPX,1350.36,1365.54,1354.92,1364.17
108105,2001-01-30,SPX,1356.2,1375.68,1364.17,1373.73
108105,2001-01-31,SPX,1364.66,1383.37,1373.73,1366.01
108105,2001-02-01,SPX,1359.34,1373.5,1366.01,1373.47
108105,2001-02-02,SPX,1348.72,1376.38,1373.47,1349.47
108105,2001-02-05,SPX,1344.48,1354.56,1349.47,1354.31
108105,2001-02-06,SPX,1350.04,1363.55,1354.31,1352.26
108105,2001-02-07,SPX,1334.26,1352.26,1352.26,1340.89
108105,2001-02-08,SPX,1332.42,1350.32,1341.1,1332.53
108105,2001-02-09,SPX,1309.98,1332.53,1332.53,1314.76
108105,2001-02-12,SPX,1313.64,1330.96,1314.76,1330.31
108105,2001-02-13,SPX,1317.51,1336.62,1330.31,1318.8
108105,2001-02-14,SPX,1304.72,1320.73,1318.8,1315.92
108105,2001-02-15,SPX,1315.92,1331.29,1315.92,1326.61
108105,2001-02-16,SPX,1293.18,1326.61,1326.61,1301.53
108105,2001-02-20,SPX,1278.44,1307.16,1301.53,1278.94
108105,2001-02-21,SPX,1253.16,1282.97,1278.94,1255.27
108105,2001-02-22,SPX,1228.33,1259.94,1255.27,1252.82
108105,2001-02-23,SPX,1215.44,1252.82,1252.82,1245.86
108105,2001-02-26,SPX,1241.71,1267.69,1245.86,1267.65
108105,2001-02-27,SPX,1252.26,1272.76,1267.65,1257.94
108105,2001-02-28,SPX,1229.65,1263.47,1257.94,1239.94
